,gameResult,oChamp1,oChamp2,oChamp3,oChamp4,oChamp5,eChamp1,eChamp2,eChamp3,eChamp4,eChamp5
0,1,23,7,45,7,20,16,9,74,13,48
1,0,84,20,1,12,45,19,20,95,2,43
2,1,23,19,43,3,3,77,18,73,60,43
3,0,19,10,74,12,28,56,18,42,78,48
4,1,23,22,60,3,11,21,23,73,13,48
5,0,19,4,60,28,3,35,15,50,3,14
6,0,81,5,65,3,45,15,15,14,13,14
7,0,66,19,98,68,39,4,8,23,28,42
8,1,42,39,98,58,29,53,20,23,69,41
9,1,0,22,31,12,12,15,9,42,69,12
10,1,27,20,98,3,2,19,20,59,13,43
11,0,27,37,74,3,12,19,9,98,27,35
12,1,50,10,34,3,39,15,20,28,1,35
13,1,19,9,95,12,14,77,5,74,40,43
14,0,19,20,74,72,39,53,40,98,40,26
15,1,81,10,75,40,38,15,5,44,54,34
16,1,19,22,91,3,39,48,14,65,13,31
17,0,73,5,63,3,17,63,28,23,40,26
18,1,65,20,22,3,39,53,28,73,60,35
19,1,19,9,63,3,11,0,20,28,26,43
20,0,0,19,34,29,39,48,36,26,13,48
21,1,23,7,45,7,20,16,9,74,13,48
22,1,27,4,81,3,32,53,7,44,39,34
23,0,81,10,12,27,39,23,20,81,2,26
24,1,81,20,81,12,38,25,4,38,2,19
25,0,5,10,2,3,39,77,18,35,13,14
26,0,67,10,98,21,3,73,36,44,28,43
27,0,5,20,43,80,28,0,20,98,13,48
28,1,25,20,75,39,28,23,15,42,2,5
29,0,0,38,20,12,2,13,28,73,2,14
30,1,0,22,75,29,29,23,9,42,8,43
31,0,84,39,98,3,45,78,18,25,3,35
32,0,1,10,93,12,45,4,4,98,2,43
33,1,27,22,60,28,2,37,45,8,29,34
34,0,55,31,75,12,28,35,5,0,2,39
35,1,84,20,70,72,12,73,36,30,27,6
36,0,86,35,81,40,39,0,28,98,13,6
37,1,19,7,98,12,12,0,9,45,27,26
38,1,14,13,43,46,45,4,5,47,2,34
39,1,0,31,76,3,2,53,21,81,40,43
40,1,23,7,45,7,20,16,9,74,13,48
41,1,84,42,43,28,12,58,36,48,26,43
42,1,0,4,41,72,20,19,9,28,28,29
43,1,16,35,13,63,39,0,8,2,78,14
44,0,16,22,18,29,29,43,9,42,2,41
45,1,72,5,95,12,12,35,18,74,27,43
46,0,56,42,75,29,39,35,10,2,69,48
