,gameResult,oChamp1,oChamp2,oChamp3,oChamp4,oChamp5,eChamp1,eChamp2,eChamp3,eChamp4,eChamp5
0,0,Kayle,Sejuani,Malphite,Varus,Poppy,Nasus,Pantheon,Yasuo,Twitch,Janna
1,0,Mordekaiser,Zac,Ekko,Caitlyn,Yuumi,Garen,Amumu,Yasuo,Miss Fortune,Zilean
2,1,Renekton,Ekko,LeBlanc,Ezreal,Sona,Mordekaiser,Wukong,Zed,Varus,Yuumi
3,0,Renekton,Graves,Lux,Ezreal,Leona,Malphite,Warwick,Camille,Caitlyn,Senna
4,0,Fiddlesticks,Rammus,Pantheon,Jhin,Thresh,Volibear,Jarvan IV,Ahri,Miss Fortune,Senna
5,0,Teemo,Trundle,Lissandra,Varus,Yuumi,Mordekaiser,Rammus,Cassiopeia,Miss Fortune,Pyke
6,1,Yasuo,Kha'Zix,Lux,Ashe,Thresh,Sylas,Lee Sin,Ahri,Kai'Sa,Malphite
7,0,Sylas,Lee Sin,LeBlanc,Ashe,Nautilus,Urgot,Kindred,Lucian,Miss Fortune,Leona
8,0,Jayce,Lee Sin,Twisted Fate,Ezreal,Zilean,Renekton,Ekko,Sylas,Zed,Malphite
9,1,Malphite,Shaco,Nocturne,Tristana,Alistar,Garen,Kha'Zix,Syndra,Ezreal,Swain
10,1,Wukong,Pantheon,Sylas,Kalista,Galio,Garen,Kayn,Ekko,Caitlyn,Leona
11,1,Garen,Master Yi,Yasuo,Miss Fortune,Pyke,Sett,Elise,Talon,Vayne,Morgana
12,0,Ivern,Xin Zhao,Twisted Fate,Fiora,Nautilus,Vladimir,Sylas,Yasuo,Ezreal,Swain
13,1,Dr. Mundo,Jarvan IV,Zed,Miss Fortune,Morgana,Ornn,Jax,Fiddlesticks,Aphelios,Soraka
14,0,Tristana,Warwick,Zed,Kai'Sa,Leona,Sylas,Xin Zhao,Annie,Lucian,Blitzcrank
15,1,Aatrox,Shen,Diana,Kai'Sa,Senna,Sett,Amumu,Yasuo,Ezreal,Alistar
16,0,Akali,Master Yi,Kled,Caitlyn,Nautilus,Wukong,Warwick,Lux,Xayah,Swain
17,0,Urgot,Zac,Akali,Ashe,Pyke,Garen,Shyvana,Ekko,Kai'Sa,Lux
18,1,Urgot,Teemo,Zoe,Caitlyn,Morgana,Yorick,Fiddlesticks,Zed,Kai'Sa,Volibear
19,1,Garen,Xin Zhao,Twisted Fate,Tristana,Malphite,Sett,Ekko,Renekton,Caitlyn,Nautilus
20,0,Ahri,Jarvan IV,Mordekaiser,Kai'Sa,Leona,Darius,Jax,Yasuo,Miss Fortune,Sylas
21,0,Garen,Jax,Pantheon,Caitlyn,Xerath,Renekton,Kayn,Ahri,Ashe,Shen
22,1,Renekton,Rengar,Galio,Aatrox,Senna,Darius,Jax,Cassiopeia,Ezreal,Xerath
23,1,Renekton,Jax,Sylas,Kai'Sa,Xerath,Sett,Master Yi,Akali,Miss Fortune,Thresh
24,0,Mordekaiser,Dr. Mundo,Sylas,Lucian,Volibear,Aatrox,Rammus,Garen,Ezreal,Xerath
25,1,Sylas,Master Yi,Kayle,Varus,Leona,Malphite,Nocturne,Vel'Koz,Caitlyn,Xerath
26,0,Dr. Mundo,Amumu,Twisted Fate,Caitlyn,Xerath,Master Yi,Warwick,LeBlanc,Ezreal,Pyke
27,1,Tryndamere,Master Yi,Tristana,Caitlyn,Xerath,Wukong,Warwick,Jayce,Aatrox,Lulu
28,0,Camille,Sylas,Nocturne,Caitlyn,Xerath,Warwick,Jax,Ryze,Ashe,Thresh
29,0,Irelia,Nunu & Willump,Heimerdinger,Kai'Sa,Blitzcrank,Mordekaiser,Lee Sin,Zed,Ezreal,Xerath
30,0,Ornn,Nidalee,Kassadin,Varus,Yuumi,Mordekaiser,Ekko,Akali,Ezreal,Xerath
31,1,Tryndamere,Warwick,Syndra,Ezreal,Xerath,Vladimir,Nunu & Willump,Qiyana,Varus,Ashe
32,0,Ezreal,Graves,Diana,Lucian,Xerath,Malphite,Amumu,Syndra,Miss Fortune,Karma
33,1,Quinn,Fiddlesticks,Xerath,Aphelios,Lulu,Renekton,Jax,Fizz,Tristana,Morgana
34,0,Renekton,Jax,Ahri,Ashe,Lux,Sett,Zac,Malphite,Aphelios,Leona
35,0,Tryndamere,Udyr,Nocturne,Caitlyn,Blitzcrank,Vladimir,Jax,Ahri,Tristana,Nautilus
36,0,Camille,Qiyana,Xerath,Kai'Sa,Alistar,Ezreal,Kindred,Sylas,Vayne,Nautilus
37,0,Poppy,Amumu,Renekton,Kai'Sa,Blitzcrank,Quinn,Kindred,Pantheon,Ezreal,Thresh
38,0,Darius,Shyvana,Veigar,Ezreal,Malphite,Aatrox,Lee Sin,Kayn,Aphelios,Xerath
39,0,Ornn,Sylas,Lucian,Ezreal,Blitzcrank,Varus,Jax,Maokai,Kai'Sa,Pyke
40,0,Fiora,Darius,Garen,Kai'Sa,Senna,Sylas,Ekko,Yasuo,Miss Fortune,Annie
41,0,Malphite,Kindred,Ekko,Sivir,Thresh,Nasus,Rammus,Sylas,Ezreal,Vel'Koz
42,0,Renekton,Kindred,LeBlanc,Ezreal,Alistar,Jax,Graves,Zed,Caitlyn,Nami
43,1,Fiora,Volibear,Ahri,Ashe,Leona,Teemo,Kindred,Katarina,Jinx,Alistar
44,0,Master Yi,Ekko,Garen,Miss Fortune,Senna,Renekton,Dr. Mundo,Gnar,Ezreal,Thresh
45,0,Nasus,Volibear,Ahri,Jhin,Shaco,Tahm Kench,Ekko,Viktor,Varus,Lux
46,0,Maokai,Lee Sin,Lucian,Miss Fortune,Lux,Sylas,Ekko,Veigar,Kai'Sa,Pyke
47,1,Teemo,Amumu,Ezreal,Pantheon,Malphite,Fiora,Ekko,Ahri,Xayah,Sett
48,0,Renekton,Pantheon,Swain,Lucian,Galio,Heimerdinger,Graves,LeBlanc,Ashe,Thresh
49,0,Illaoi,Master Yi,Sylas,Ashe,Malphite,Ornn,Graves,Twisted Fate,Ezreal,Blitzcrank
50,1,Fiora,Graves,LeBlanc,Aphelios,Xerath,Riven,Fiddlesticks,Jhin,Vayne,Renekton
51,0,Mordekaiser,Amumu,Sylas,Ashe,Morgana,Volibear,Evelynn,Malphite,Kai'Sa,Lux
52,0,Darius,Amumu,Ahri,Sivir,Maokai,Wukong,Evelynn,Zed,Ezreal,Teemo
53,1,Fiddlesticks,Evelynn,Yasuo,Vayne,Senna,Vladimir,Sylas,Zed,Ezreal,Maokai
54,1,Sylas,Evelynn,Jax,Miss Fortune,Nautilus,Darius,Hecarim,Orianna,Caitlyn,Lux
55,1,Shen,Ekko,Lissandra,Lucian,Senna,Singed,Graves,Zed,Kai'Sa,Blitzcrank
56,1,Maokai,Jarvan IV,Fizz,Ashe,Nautilus,Sett,Ekko,Diana,Sivir,Soraka
57,0,Nocturne,Graves,Rumble,Ezreal,Morgana,Maokai,Volibear,Fizz,Lucian,Thresh
58,0,Garen,Jax,Lissandra,Ashe,Alistar,Shen,Ekko,Fizz,Kai'Sa,Nunu & Willump
59,1,Malphite,Ekko,Katarina,Jinx,Alistar,Aatrox,Graves,Veigar,Ezreal,Senna
60,0,Maokai,Nocturne,Akali,Vayne,Morgana,Kled,Trundle,Xerath,Ezreal,Leona
61,1,Illaoi,Jax,Rumble,Miss Fortune,Sylas,Maokai,Sejuani,Ryze,Kalista,Shen
62,1,Malphite,Ekko,Galio,Varus,Pyke,Kled,Nunu & Willump,Lucian,Caitlyn,Thresh
63,1,Nidalee,Amumu,Akali,Lucian,Nautilus,Maokai,Lee Sin,Yasuo,Vayne,Neeko
64,1,Sett,Lee Sin,Garen,Corki,Senna,Kennen,Nunu & Willump,Akali,Lucian,Blitzcrank
