,gameResult,oChamp1,oChamp2,oChamp3,oChamp4,oChamp5,eChamp1,eChamp2,eChamp3,eChamp4,eChamp5
0,1,Nautilus,Sylas,Veigar,Kai'Sa,Miss Fortune,Volibear,Nocturne,Zoe,Jinx,Thresh
1,1,Quinn,Xin Zhao,Nidalee,Ezreal,Yuumi,Sylas,Wukong,Morgana,Kai'Sa,Sona
2,1,Nautilus,Rammus,Yasuo,Jhin,Yuumi,Yorick,Graves,Fizz,Ezreal,Zyra
3,0,Nautilus,Master Yi,Galio,Varus,Leona,Maokai,Warwick,Ahri,Miss Fortune,Senna
4,0,Teemo,Lee Sin,Sett,Caitlyn,Leona,Renekton,Evelynn,Vladimir,Ashe,Veigar
5,1,Nautilus,Vi,Galio,Ezreal,Lux,Mordekaiser,Rengar,Akali,Kalista,Morgana
6,0,Tryndamere,Graves,Ekko,Ezreal,Lux,Fiora,Udyr,Cassiopeia,Vayne,LeBlanc
7,0,Sett,Malphite,Galio,Lucian,Nami,Nautilus,Gragas,Yasuo,Vayne,Miss Fortune
8,1,Renekton,Xin Zhao,Annie,Ashe,Brand,Aatrox,Karthus,Twisted Fate,Vladimir,Neeko
9,0,Kled,Hecarim,Orianna,Lucian,Morgana,Nautilus,Evelynn,Ezreal,Jinx,Lux
10,1,Akali,Lee Sin,Yasuo,Kalista,Blitzcrank,Irelia,Master Yi,Mordekaiser,Ashe,Leona
11,0,Dr. Mundo,Ekko,Lux,Ezreal,Bard,Azir,Volibear,Poppy,Kai'Sa,Swain
12,0,Aatrox,Amumu,Galio,Kai'Sa,Leona,Mordekaiser,Elise,Malzahar,Vayne,Yuumi
13,1,Nautilus,Nunu & Willump,Xerath,Caitlyn,Blitzcrank,Darius,Volibear,Sylas,Ezreal,Pyke
14,1,Ornn,Elise,Talon,Vayne,Thresh,Nautilus,Dr. Mundo,LeBlanc,Varus,Leona
15,1,Nautilus,Zac,Rumble,Tristana,Leona,Volibear,Shen,Fizz,Vayne,Lux
16,1,Nautilus,Shyvana,Pyke,Kai'Sa,Lulu,Fiddlesticks,Lee Sin,Sylas,Ezreal,Sett
17,1,Fiora,Rammus,Yasuo,Vladimir,Alistar,Renekton,Lee Sin,Fizz,Caitlyn,Blitzcrank
18,0,Ornn,Sejuani,Nocturne,Aphelios,Volibear,Yasuo,Nunu & Willump,Irelia,Vayne,Alistar
19,1,Fiddlesticks,Lee Sin,Sylas,Vayne,Soraka,Garen,Master Yi,Ekko,Caitlyn,Thresh
20,1,Garen,Nidalee,Malzahar,Varus,Lulu,Jayce,Elise,Cassiopeia,Jinx,Lux
21,1,Nautilus,Nunu & Willump,Xerath,Caitlyn,Blitzcrank,Darius,Volibear,Sylas,Ezreal,Pyke
22,0,Ornn,Amumu,Irelia,Caitlyn,Soraka,Maokai,Nunu & Willump,Kassadin,Vayne,Vel'Koz
23,1,Heimerdinger,Master Yi,Nocturne,Varus,Leona,Jax,Volibear,Diana,Ezreal,Lux
24,1,Fiora,Jax,Yasuo,Jinx,Ashe,Irelia,Ekko,Talon,Varus,Malphite
25,1,Dr. Mundo,Zac,Zed,Jhin,Pyke,Garen,Jax,Sylas,Varus,Pantheon
26,0,Jayce,Jax,Katarina,Varus,Karma,Quinn,Lee Sin,Ahri,Caitlyn,Leona
27,1,Rumble,Maokai,Yasuo,Ezreal,Volibear,Malphite,Nunu & Willump,Katarina,Jinx,Blitzcrank
28,0,Diana,Trundle,Illaoi,Syndra,Swain,Neeko,Ekko,Xerath,Aphelios,Blitzcrank
29,1,Nasus,Rammus,Swain,Caitlyn,Senna,Olaf,Amumu,Ahri,Yasuo,Malphite
30,0,Vladimir,Rek'Sai,Zed,Aphelios,Volibear,Aatrox,Master Yi,Ahri,Syndra,Senna
31,0,Renekton,Lee Sin,Darius,Caitlyn,Pyke,Sylas,Volibear,Wukong,Lucian,Brand
32,0,Kled,Cassiopeia,Fizz,Caitlyn,Senna,Jax,Wukong,Kassadin,Miss Fortune,Maokai
33,1,Mordekaiser,Warwick,LeBlanc,Varus,Janna,Darius,Kha'Zix,Zed,Caitlyn,Xerath
34,1,Graves,Nocturne,Pyke,Volibear,Teemo,Maokai,Rammus,Illaoi,Varus,Thresh
35,0,Pantheon,Nocturne,Lux,Varus,Brand,Teemo,Kindred,Lissandra,Ezreal,Alistar
36,0,Kalista,Lee Sin,Zed,Vayne,Blitzcrank,Mordekaiser,Graves,Maokai,Varus,Senna
37,1,Nocturne,Rammus,Ekko,Varus,Morgana,Quinn,Lee Sin,Yasuo,Caitlyn,Lux
38,0,Irelia,Shyvana,Sylas,Ezreal,Yuumi,Ornn,Trundle,Vladimir,Varus,Pantheon
39,1,Tryndamere,Xin Zhao,Garen,Ashe,Miss Fortune,Talon,Sylas,Ryze,Azir,Soraka
40,1,Nautilus,Nunu & Willump,Xerath,Caitlyn,Blitzcrank,Darius,Volibear,Sylas,Ezreal,Pyke
