,gameResult,oChamp1,oChamp2,oChamp3,oChamp4,oChamp5,eChamp1,eChamp2,eChamp3,eChamp4,eChamp5
0,1,Hecarim,Fiddlesticks,Lucian,Cassiopeia,Nautilus,Garen,Graves,Syndra,Ezreal,Yuumi
1,0,Wukong,Lee Sin,Ahri,Ezreal,Yuumi,Hecarim,Nidalee,Zed,Aphelios,Thresh
2,1,Hecarim,Kindred,LeBlanc,Aphelios,Blitzcrank,Wukong,Lee Sin,Sylas,Syndra,Thresh
3,0,Gangplank,Graves,Sylas,Ezreal,Senna,Rumble,Lee Sin,LeBlanc,Yasuo,Yuumi
4,1,Hecarim,Nidalee,Pantheon,Aphelios,Janna,Irelia,Olaf,Sylas,Ezreal,Yuumi
5,0,Gangplank,Ekko,Pantheon,Kai'Sa,Blitzcrank,Lucian,Kayn,Mordekaiser,Ashe,Karma
6,0,Vladimir,Elise,Renekton,Aphelios,Yuumi,Gangplank,Kayn,Diana,Ezreal,Karma
7,0,Ryze,Kindred,Zoe,Tristana,Thresh,Camille,Gragas,Gangplank,Kalista,Taric
8,1,Lucian,Sylas,Zoe,Sivir,Sett,Renekton,Nidalee,Gangplank,Varus,Tahm Kench
9,1,Aatrox,Nidalee,Jayce,Ezreal,Karma,Gangplank,Graves,LeBlanc,Varus,Gragas
10,1,Jayce,Lee Sin,Zoe,Aphelios,Bard,Hecarim,Nidalee,Pantheon,Ezreal,Thresh
11,0,Jayce,Shyvana,Sylas,Aphelios,Karma,Hecarim,Graves,Zoe,Kai'Sa,Sett
12,1,Neeko,Graves,Karma,Aphelios,Thresh,Gangplank,Nidalee,Irelia,Anivia,Sett
13,1,Gangplank,Gragas,Zed,Ezreal,Leona,Wukong,Elise,Syndra,Miss Fortune,Thresh
14,0,Gangplank,Lee Sin,Sylas,Varus,Thresh,Renekton,Trundle,Zoe,Miss Fortune,Nautilus
15,1,Vladimir,Graves,Syndra,Miss Fortune,Taric,Gangplank,Elise,Lucian,Sett,Senna
16,1,Gangplank,Nidalee,Wukong,Aphelios,Thresh,Pantheon,Karthus,Renekton,Ezreal,Pyke
17,0,Syndra,Elise,Qiyana,Aphelios,Maokai,Sylas,Rek'Sai,Gangplank,Miss Fortune,Nautilus
18,1,Rumble,Lee Sin,Gangplank,Aphelios,Thresh,Renekton,Rek'Sai,Sylas,Syndra,Sett
19,1,Gangplank,Gragas,Qiyana,Aphelios,Janna,Aatrox,Nidalee,Irelia,Jinx,Thresh
20,0,Aatrox,Kindred,Karma,Kalista,Thresh,Pantheon,Sylas,Hecarim,Ezreal,Yuumi
21,1,Hecarim,Fiddlesticks,Lucian,Cassiopeia,Nautilus,Garen,Graves,Syndra,Ezreal,Yuumi
22,1,Jayce,Ekko,Twisted Fate,Aphelios,Sion,Renekton,Fiddlesticks,Lucian,Maokai,Senna
23,0,Vladimir,Graves,Corki,Jinx,Thresh,Jayce,Nidalee,Twisted Fate,Aphelios,Nautilus
24,1,Vladimir,Lee Sin,Twisted Fate,Ezreal,Taric,Karma,Ekko,Kayn,Aphelios,Lulu
25,0,Camille,Graves,Akali,Aphelios,Thresh,Wukong,Lee Sin,Karthus,Ezreal,Karma
26,0,Sett,Graves,Zoe,Heimerdinger,Blitzcrank,Vayne,Sylas,Lucian,Kalista,Thresh
27,0,Camille,Lee Sin,LeBlanc,Yasuo,Senna,Aatrox,Nidalee,Zoe,Ezreal,Yuumi
28,1,Irelia,Lee Sin,Syndra,Maokai,Senna,Jayce,Kayn,LeBlanc,Aphelios,Bard
29,0,Aatrox,Skarner,Fizz,Ezreal,Bard,Fiora,Rek'Sai,Sylas,Aphelios,Karma
30,1,Aatrox,Nidalee,Syndra,Kalista,Sett,Jayce,Graves,LeBlanc,Cassiopeia,Thresh
31,0,Wukong,Sylas,Zoe,Aphelios,Yuumi,Yasuo,Lee Sin,Gragas,Ashe,Sett
32,0,Akali,Graves,Yasuo,Ezreal,Yuumi,Camille,Ekko,Zoe,Aphelios,Thresh
33,1,Jayce,Nidalee,Pantheon,Kai'Sa,Bard,Malphite,Xin Zhao,Azir,Karma,Senna
34,0,Ornn,Rek'Sai,Syndra,Ezreal,Senna,Lucian,Elise,Aatrox,Aphelios,Soraka
35,1,Wukong,Lee Sin,Sett,Varus,Karma,Vayne,Sylas,Jax,Kai'Sa,Blitzcrank
36,0,Yorick,Sett,Twisted Fate,Miss Fortune,Thresh,Aatrox,Rek'Sai,Zoe,Ezreal,Blitzcrank
37,1,Gangplank,Fiddlesticks,Zoe,Ezreal,Karma,Aatrox,Graves,Lulu,Kai'Sa,Nautilus
38,1,Ezreal,Jarvan IV,LeBlanc,Ornn,Yuumi,Camille,Elise,Malzahar,Aphelios,Senna
39,1,Aatrox,Rek'Sai,Taliyah,Aphelios,Bard,Renekton,Nocturne,Twisted Fate,Miss Fortune,Thresh
40,1,Hecarim,Fiddlesticks,Lucian,Cassiopeia,Nautilus,Garen,Graves,Syndra,Ezreal,Yuumi
41,1,Wukong,Trundle,LeBlanc,Kai'Sa,Karma,Sett,Sylas,Maokai,Jinx,Thresh
42,1,Aatrox,Ekko,Kled,Varus,Nautilus,Hecarim,Graves,Irelia,Kalista,Pantheon
43,1,Fiora,Sett,Darius,Syndra,Thresh,Aatrox,Gragas,Akali,Yasuo,Karma
44,0,Fiora,Nidalee,Fiddlesticks,Kalista,Sett,Neeko,Graves,LeBlanc,Aphelios,Tahm Kench
45,1,Sylas,Elise,Zed,Ezreal,Karma,Lucian,Lee Sin,Syndra,Kai'Sa,Thresh
46,0,Pantheon,Trundle,Syndra,Kalista,Thresh,Lucian,Hecarim,Akali,Varus,Yuumi
47,0,Aatrox,Nidalee,Jayce,Ezreal,Alistar,Renekton,Ekko,Syndra,Sivir,Tahm Kench
48,1,Sylas,Fiddlesticks,Zed,Ezreal,Nautilus,Ornn,Karthus,Sett,Varus,Tahm Kench
49,1,Sett,Camille,Twisted Fate,Ezreal,Gragas,Wukong,Graves,Kassadin,Miss Fortune,Yuumi
50,1,Renekton,Elise,LeBlanc,Ezreal,Janna,Ornn,Lee Sin,Lucian,Cassiopeia,Thresh
51,0,Poppy,Trundle,Galio,Ezreal,Senna,Wukong,Kayn,Karma,Aphelios,Yuumi
52,1,Irelia,Nidalee,Jayce,Yasuo,Sett,Jax,Lee Sin,Ahri,Ezreal,Shen
53,0,Mordekaiser,Ekko,Sett,Aphelios,Senna,Poppy,Rek'Sai,Karma,Ezreal,Leona
54,1,Wukong,Ekko,Jayce,Kai'Sa,Pyke,Gangplank,Nidalee,Renekton,Sett,Senna
55,1,Olaf,Ekko,Syndra,Ezreal,Karma,Aatrox,Graves,Galio,Kalista,Rakan
56,0,Jayce,Nidalee,Diana,Sivir,Sett,Cassiopeia,Elise,Qiyana,Ezreal,Thresh
57,0,Pantheon,Nidalee,Jayce,Syndra,Yuumi,Irelia,Ekko,Cassiopeia,Kalista,Morgana
58,1,Kai'Sa,Jarvan IV,Lissandra,Kennen,Pyke,Wukong,Trundle,Ezreal,LeBlanc,Galio
59,0,Akali,Lee Sin,Lucian,Aphelios,Karma,Wukong,Graves,LeBlanc,Miss Fortune,Thresh
60,0,Aatrox,Kindred,Karma,Kalista,Thresh,Pantheon,Sylas,Hecarim,Ezreal,Yuumi
61,1,Hecarim,Fiddlesticks,Lucian,Cassiopeia,Nautilus,Garen,Graves,Syndra,Ezreal,Yuumi
62,0,Jayce,Lee Sin,Karma,Caitlyn,Bard,Rumble,Jarvan IV,LeBlanc,Ezreal,Yuumi
63,0,Aatrox,Fiddlesticks,Pantheon,Varus,Blitzcrank,Singed,Lee Sin,Twisted Fate,Kalista,Bard
64,1,Wukong,Nidalee,Rumble,Varus,Alistar,Sett,Hecarim,Katarina,Kalista,Rakan
65,1,Maokai,Lee Sin,LeBlanc,Ezreal,Alistar,Kayle,Fiddlesticks,Pantheon,Aphelios,Nautilus
