,gameResult,TOP,JUNGLE,MIDDLE,BOTTOM,SUPPORT
0,1,2.18,2.37,1.61,1.39,2.00
1,0,3.50,2.09,1.61,2.50,1.86
2,0,0.74,1.40,1.61,1.92,3.01
3,0,1.61,1.76,2.14,3.40,2.10
4,0,1.61,1.78,2.13,3.76,2.01
5,0,1.61,1.08,2.19,2.27,1.96
6,1,1.61,1.82,2.56,4.39,3.20
7,0,1.61,1.44,1.36,2.02,50.00
8,1,1.61,2.70,2.80,3.15,2.13
9,1,2.00,1.61,2.24,2.33,2.63
10,0,1.61,4.06,2.72,1.80,7.38
11,1,2.13,1.61,1.86,1.76,1.72
12,0,1.61,1.80,2.41,1.21,1.57
13,0,1.55,1.61,2.02,2.64,2.01
14,0,1.60,2.15,1.61,2.40,2.70
15,0,3.26,1.71,1.61,2.77,2.56
16,0,2.57,2.89,1.61,2.59,2.79
17,0,2.88,1.88,1.61,2.06,2.29
18,1,1.29,3.30,1.61,2.04,2.21
19,0,2.26,2.67,1.61,0.48,1.76
20,0,2.23,2.63,2.05,2.76,1.86
21,1,2.23,1.30,1.11,2.80,2.54
22,0,3.43,3.75,2.23,2.65,1.84
23,0,2.55,2.41,2.23,1.24,2.00
24,1,4.84,2.21,2.75,2.09,2.23
25,1,3.16,3.15,2.23,1.64,3.22
26,1,2.23,2.84,2.03,2.07,2.86
27,1,2.23,2.73,2.31,2.34,1.63
28,1,1.99,2.04,2.49,1.82,2.23
29,1,2.23,3.48,2.71,5.73,2.62
30,0,2.23,2.04,2.24,2.61,2.37
31,0,2.23,2.27,2.58,3.38,1.98
32,1,2.23,1.66,1.81,1.29,2.87
33,0,2.23,1.45,2.38,2.06,1.65
34,0,2.23,1.46,2.00,2.31,2.41
35,1,2.23,3.17,2.14,2.79,2.05
36,0,2.23,1.97,1.81,2.68,1.92
37,1,3.06,2.23,1.96,2.82,1.73
38,0,2.77,1.72,1.64,2.23,1.36
39,0,2.23,2.65,2.50,2.92,2.47
40,0,3.71,2.00,3.18,2.52,1.41
41,1,1.53,2.00,2.74,2.27,2.23
42,0,1.24,2.00,2.92,2.28,2.12
43,1,2.46,2.00,2.07,2.14,2.77
44,1,2.76,3.95,1.66,2.00,2.22
45,0,1.62,2.07,2.64,2.03,2.00
46,0,1.91,2.00,28.73,1.28,2.13
47,0,2.63,2.00,3.11,2.21,2.18
48,0,2.27,2.16,2.00,2.49,2.27
49,0,2.09,2.00,2.45,2.68,2.13
50,0,2.31,2.00,2.49,1.85,2.22
51,0,1.56,2.09,1.99,2.00,1.93
52,1,2.22,3.17,2.00,2.61,2.82
53,0,1.93,2.60,2.00,2.39,2.99
54,1,1.97,2.00,3.00,1.78,3.32
55,1,2.02,2.55,2.00,2.14,1.49
56,1,2.16,2.00,2.71,3.02,2.50
57,0,2.26,2.00,1.91,2.28,1.77
58,0,2.59,2.00,2.26,2.32,3.14
59,0,2.12,1.59,2.00,1.85,2.77
60,1,1.97,2.34,1.88,2.41,3.78
61,1,2.63,2.34,2.66,2.86,2.56
62,0,0.76,2.34,2.00,0.45,0.70
63,0,1.95,2.34,1.34,2.05,2.30
64,1,1.58,2.34,1.75,2.04,2.48
65,0,2.13,2.34,3.08,1.91,2.63
66,1,1.98,2.34,2.07,2.77,3.45
67,1,2.83,2.34,3.13,1.87,2.17
68,0,2.37,2.34,3.84,2.73,2.19
69,1,1.89,2.34,2.75,1.72,2.00
