,gameResult,TOP,JUNGLE,MIDDLE,BOTTOM,SUPPORT
0,1,3.01,3.79,2.04,2.88,2.76
1,1,3.01,2.71,2.04,2.02,2.93
2,1,3.01,2.71,2.04,3.20,3.11
3,0,3.01,2.13,2.04,1.30,1.83
4,1,4.67,1.69,3.01,1.94,2.47
5,1,4.67,2.69,3.01,1.85,5.55
6,0,2.62,2.05,3.01,3.01,3.11
7,1,2.66,2.03,3.01,3.32,3.76
8,0,2.00,1.84,3.01,2.04,2.69
9,0,3.23,3.01,1.56,3.62,2.49
10,0,3.35,2.32,3.01,1.97,1.79
11,0,1.42,3.01,3.01,2.94,1.69
12,1,2.67,3.01,3.01,1.18,2.17
13,1,2.70,3.01,3.01,1.71,1.96
14,1,2.28,3.01,3.01,2.36,1.55
15,1,2.74,3.01,3.01,2.44,1.09
16,1,1.26,3.01,3.01,2.65,2.13
17,1,3.01,3.01,1.84,2.76,2.20
18,0,2.49,2.63,3.01,2.67,2.57
19,0,3.01,1.92,3.50,4.19,2.57
20,0,2.18,1.99,2.12,2.81,3.26
21,0,2.12,1.94,2.29,2.14,1.68
22,1,2.12,2.07,2.29,3.32,2.96
23,1,2.83,2.29,2.12,0.96,1.97
24,0,1.63,2.29,2.12,2.73,2.78
25,1,3.46,3.62,2.12,2.70,2.19
26,0,3.52,1.16,2.30,3.74,2.12
27,1,2.28,4.28,2.12,3.66,2.55
28,0,1.96,2.74,4.97,1.85,2.12
29,0,2.12,1.30,2.67,3.34,2.47
30,0,3.52,1.46,2.12,1.60,2.22
31,1,2.12,2.93,3.17,3.11,2.03
32,0,2.75,1.52,2.67,3.17,2.12
33,1,1.54,1.49,5.14,3.17,2.12
34,1,1.98,1.74,2.91,3.17,2.12
35,0,2.12,1.88,1.31,2.06,2.33
36,0,2.12,2.03,1.88,4.35,2.87
37,0,2.60,4.16,2.29,2.51,2.12
38,1,2.12,3.10,2.29,3.43,2.92
39,1,1.71,2.54,2.29,2.12,2.14
40,0,1.83,2.71,2.55,2.49,2.96
41,0,1.83,1.80,2.56,1.92,1.51
42,1,1.83,2.59,2.64,4.35,2.46
43,0,2.57,2.47,2.57,1.83,0.49
44,0,1.83,3.03,3.43,1.70,2.47
45,1,1.83,1.77,2.24,3.83,2.24
46,0,2.34,1.83,1.39,2.60,1.76
47,0,2.58,1.58,1.83,2.28,2.79
48,0,0.85,2.12,1.83,2.07,2.46
49,1,3.17,2.28,1.88,1.83,3.68
50,0,1.33,2.80,1.83,3.34,2.53
51,0,1.81,1.83,3.66,3.21,2.59
52,0,1.83,2.04,1.75,2.51,2.29
53,0,2.14,2.66,1.83,3.25,2.06
54,0,2.30,1.80,1.83,2.08,2.77
55,0,1.83,2.02,2.66,2.06,2.15
56,0,1.83,2.26,2.39,2.65,2.76
57,0,1.83,3.18,2.75,2.69,2.84
58,0,1.83,2.36,2.86,3.04,3.34
59,1,1.83,2.66,5.32,4.94,2.93
60,0,1.65,1.75,3.11,2.39,2.37
61,0,1.87,2.41,3.11,2.51,2.46
62,0,3.11,2.56,2.59,1.72,1.72
63,1,1.98,2.78,2.59,2.10,3.11
64,1,3.11,2.43,2.59,1.77,1.91
65,1,3.11,2.23,2.59,2.07,1.64
66,0,3.11,1.75,2.59,3.01,2.06
67,1,3.11,3.38,2.59,2.60,3.59
68,0,1.23,1.80,3.11,2.38,1.85
69,0,3.51,2.69,3.11,1.34,2.92
70,0,3.11,1.64,2.69,3.07,2.06
